phase,phase_name,specimen_id,variant,capacitor_role,freq_label,freq_spec,vac_peak_target_v,vdc_target_v,required_or_optional,new_measurement_or_reused,purpose
1,Reference position/orientation validation,W90-0603-R-03,W90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-03,W90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-03,W90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-03,W90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-03,W90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-01,S0-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-01,S0-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-01,S0-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-01,S0-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-01,S0-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-01,S0-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-02,S0-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-02,S0-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-02,S0-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-02,S0-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-02,S0-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-02,S0-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-03,S0-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-03,S0-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-03,S0-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-03,S0-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-03,S0-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S0-0603-R-03,S0-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-01,S90-0402,P1,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-01,S90-0402,P1,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-01,S90-0402,P1,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-01,S90-0402,P1,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-01,S90-0402,P1,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-01,S90-0402,P1,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-02,S90-0402,P1,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-02,S90-0402,P1,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-02,S90-0402,P1,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-02,S90-0402,P1,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-02,S90-0402,P1,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-02,S90-0402,P1,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-03,S90-0402,P1,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-03,S90-0402,P1,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-03,S90-0402,P1,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-03,S90-0402,P1,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-03,S90-0402,P1,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0402-P1-03,S90-0402,P1,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-01,S90-0805,P2,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-01,S90-0805,P2,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-01,S90-0805,P2,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-01,S90-0805,P2,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-01,S90-0805,P2,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-01,S90-0805,P2,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-02,S90-0805,P2,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-02,S90-0805,P2,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-02,S90-0805,P2,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-02,S90-0805,P2,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-02,S90-0805,P2,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-02,S90-0805,P2,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-03,S90-0805,P2,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-03,S90-0805,P2,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-03,S90-0805,P2,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-03,S90-0805,P2,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-03,S90-0805,P2,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0805-P2-03,S90-0805,P2,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,package-size comparison: P1 0402 vs R 0603 vs P2 0805
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-01,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-01,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-01,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-01,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-01,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-01,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-02,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-02,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-02,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-02,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-02,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-02,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-03,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-03,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-03,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-03,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-03,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
2,Package comparison (0402 vs 0603 vs 0805),S90-0603-R-03,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,0603 arm of the package comparison
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-01,S90-0603,C1,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-01,S90-0603,C1,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-01,S90-0603,C1,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-01,S90-0603,C1,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-01,S90-0603,C1,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-01,S90-0603,C1,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-02,S90-0603,C1,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-02,S90-0603,C1,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-02,S90-0603,C1,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-02,S90-0603,C1,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-02,S90-0603,C1,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C1-02,S90-0603,C1,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-01,S90-0603,C2,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-01,S90-0603,C2,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-01,S90-0603,C2,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-01,S90-0603,C2,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-01,S90-0603,C2,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-01,S90-0603,C2,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-02,S90-0603,C2,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-02,S90-0603,C2,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-02,S90-0603,C2,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-02,S90-0603,C2,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-02,S90-0603,C2,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-C2-02,S90-0603,C2,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,capacitance comparison: C1 0.1uF vs R 1uF vs C2 10uF
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-R-01,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,1uF arm of the capacitance comparison
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-R-01,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,1uF arm of the capacitance comparison
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-R-01,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,1uF arm of the capacitance comparison
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-R-01,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,1uF arm of the capacitance comparison
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-R-01,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,1uF arm of the capacitance comparison
3,Capacitance comparison (0.1 vs 1 vs 10 uF),S90-0603-R-01,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,Reused from Phase 1,1uF arm of the capacitance comparison
